referencia;recorrencia;situacao;codigo_vendedor;tipo_faturamento;indice_reajuste;codigo_banco_conta;codigo_forma_pagamento;Cliente;CPF/CNPJ do cliente;servicos.referencia;Nome do produto/serviço;observacao_fiscal;data_primeiro_vencimento;data_vigencia_inicial;data_vigencia_final;servicos.valor_unitario;;;;;;;;;;
92;1;1;1;0;0;2;5;CÂMARA MUNICIPAL DE VEREADORES DE MARAVILHA;78485224000128;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/01/2024;09/12/2024;786,15;;;;;;;;;;
94;1;1;1;0;0;2;5;CÂMARA MUNICIPAL DE VEREADORES DE MATOS COSTA;83529941000144;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/01/2024;09/12/2024;867,61;;;;;;;;;;
96;1;1;1;0;0;2;5;CÂMARA MUNICIPAL DE VEREADORES DE PONTE SERRADA;78501004000140;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/01/2024;09/12/2024;725,42;;;;;;;;;;
97;1;1;1;0;0;2;5;CAMARA MUNICIPAL DE VEREADORES DE PORTO BELO;04984856000108;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/02/2024;03/01/2025;913,10;;;;;;;;;;
99;1;1;1;0;0;2;5;CÂMARA MUNICIPAL DE VEREADORES DE QUILOMBO;04435304000132;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/01/2024;01/12/2024;750,00;;;;;;;;;;
101;1;1;1;0;0;2;5;CAMARA MUNICIPAL DE VEREADORES DE SAO MIGUEL DA BOA VISTA;11331812000136;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/01/2024;09/12/2024;650,00;;;;;;;;;;
143;1;1;1;0;0;2;5;CÂMARA DE VEREADORES DE ANITÁPOLIS;07417202000182;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/03/2024;10/03/2025;829,05;;;;;;;;;;
144;1;1;1;0;0;2;5;CAMARA DE VEREADORES DE ARROIO TRINTA;07527994000148;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/01/2024;31/12/2024;805,65;;;;;;;;;;
147;1;1;1;0;0;2;5;CÂMARA DE VEREADORES DE JOAÇABA;78491230000198;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/03/2024;12/03/2025;910,38;;;;;;;;;;
148;1;1;1;0;0;2;5;CÂMARA DE VEREADORES DE NOVA ERECHIM;01802947000189;15;MENSALIDADE DE FORNECIMENTO DE LICENCIAMENTO DE SOFTWARE TV DO LEGISLATIVO COM ASSISTÊNCIA TÉCNICA;;10/10/2024;20/01/2024;31/12/2024;366,87;;;;;;;;;;
150;1;1;1;0;0;2;5;CÂMARA DE VEREADORES DE SALTO VELOSO;08607626000172;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/01/2024;31/12/2024;723,83;;;;;;;;;;
157;1;1;1;0;0;2;5;CÂMARA MUNICIPAL DE CALMON;95949814000183;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/01/2024;01/01/2025;750,00;;;;;;;;;;
158;1;1;1;0;0;2;5;CAMARA MUNICIPAL DE CAMPO BONITO;01129740000195;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/03/2024;26/02/2025;830,00;;;;;;;;;;
160;1;1;1;0;0;2;5;CÂMARA MUNICIPAL DE GUAMIRANGA;01616302000151;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/01/2024;08/01/2025;850,00;;;;;;;;;;
167;1;1;1;0;0;2;5;CÂMARA MUNICIPAL DE SERRANÓPOLIS DO IGUAÇU;01620534000183;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;30/01/2024;31/12/2024;732,76;;;;;;;;;;
171;1;1;1;0;0;2;5;CÂMARA MUNICIPAL DE VEREADORES DE CANELINHA;00525967000197;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/01/2024;31/12/2024;800,00;;;;;;;;;;
172;1;1;1;0;0;2;5;CAMARA MUNICIPAL DE VEREADORES DE JUPIA SC;11447594000108;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/01/2024;31/12/2024;866,35;;;;;;;;;;
173;1;1;1;0;0;2;5;CÂMARA MUNICIPAL DE VEREADORES DE MARAVILHA;78485224000128;16;MENSALIDADE DE LOCAÇÃO DA PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO LICITAÇÃO TRANSPARENTE;;10/10/2024;20/01/2024;20/12/2024;497,89;;;;;;;;;;
174;1;1;1;0;0;2;5;CÂMARA MUNICIPAL DE VEREADORES DE PARAÍSO;10568101000117;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/01/2024;31/12/2024;801,28;;;;;;;;;;
175;1;1;1;0;0;2;5;CÂMARA MUNICIPAL DE VEREADORES DE PIRATUBA;13078030000162;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/01/2024;31/12/2024;830,90;;;;;;;;;;
177;1;1;1;0;0;2;5;CÂMARA MUNICIPAL DE VEREADORES DE SAUDADES;02501128000164;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/01/2024;11/01/2025;1200,00;;;;;;;;;;
178;1;1;1;0;0;2;5;CÂMARA MUNICIPAL DE VEREADORES DE VARGEM BONITA;73753295000140;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/01/2024;31/12/2024;837,02;;;;;;;;;;
187;1;1;1;0;0;2;5;MUNICÍPIO DE SÃO JOSE DO CEDRO;83026781000110;27;SERV. MEN. SUPOR./ MANUT. / INST. RAMAIS IP, COM GATEWAY DDR/E1 DE 30 CANAIS.;;10/10/2024;20/01/2024;31/12/2024;1352,43;;;;;;;;;;
210;1;1;1;0;0;2;5;CÂMARA MUNICIPAL DE VEREADORES DE RIQUEZA;01171359000194;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/01/2024;10/02/2025;790,00;;;;;;;;;;
214;1;1;1;0;0;2;5;PREFEITURA MUNICIPAL DE PALMA SOLA;83028639000102;16;MENSALIDADE DE LOCAÇÃO DA PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO LICITAÇÃO TRANSPARENTE;;10/10/2024;29/02/2024;11/03/2025;496,42;;;;;;;;;;
218;1;1;1;0;0;2;5;CAMARA DE VEREADORES DE IRACEMA DO OESTE;95583472000120;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/01/2024;15/03/2025;899,05;;;;;;;;;;
220;1;1;1;0;0;2;5;CÂMARA MUNICIPAL DE PAULA FREITAS;01361051000101;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/01/2024;15/03/2025;990,93;;;;;;;;;;
236;1;1;1;0;0;2;5;CÂMARA MUNICIPAL DE BOA VISTA DA APARECIDA;78673183000101;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/01/2024;01/04/2025;987,19;;;;;;;;;;
259;1;1;1;0;0;2;5;CÂMARA MUNICIPAL DE FRANCISCO ALVES;80404023000109;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/01/2024;24/04/2025;888,25;;;;;;;;;;
292;1;1;1;0;0;2;5;CÂMARA MUNICIPAL DE GOIOXIM;01607629000167;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/01/2024;20/05/2025;850,00;;;;;;;;;;
305;1;1;1;0;0;2;5;CÂMARA DE VEREADORES DE PALMA SOLA;01653064000154;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/01/2024;30/06/2025;986,90;;;;;;;;;;
309;1;1;1;0;0;2;5;CAMARA MUNICIPAL DE PRESIDENTE CASTELO BRANCO - PR;80892110000144;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/01/2024;28/06/2025;916,09;;;;;;;;;;
310;1;1;1;0;0;2;5;CÂMARA MUNICIPAL DE RONCADOR;78184355000175;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/01/2024;21/06/2025;810,54;;;;;;;;;;
312;1;1;1;0;0;2;5;CÂMARA MUNICIPAL DE TRÊS PASSOS;07257873000123;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/01/2024;15/07/2025;886,94;;;;;;;;;;
313;1;1;1;0;0;2;5;CAMARA MUNICIPAL DE TUPASSI;80879729000119;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/01/2024;30/06/2025;951,15;;;;;;;;;;
378;1;1;1;0;0;2;5;CÂMARA MUNICIPAL DE VEREADORES DE CUNHA PORÃ;03028880000100;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/01/2024;30/09/2025;855,32;;;;;;;;;;
429;1;1;1;0;0;2;5;CÂMARA MUNICIPAL DE PORTO RICO;73242703000108;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/06/2024;31/12/2024;888,25;;;;;;;;;;
430;1;1;1;0;0;2;5;CÂMARA MUNICIPAL DE SANTA IZABEL DO OESTE;01581447000164;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/04/2024;03/12/2024;1086,80;;;;;;;;;;
434;1;1;1;0;0;2;5;CÂMARA MUNICIPAL DE MARIPÁ;73909491000161;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/09/2024;26/07/2025;830,00;;;;;;;;;;
