referencia;numero;cnpj_cpf_cliente;descricao;servicos.referencia;servicos.quantidade;servicos.complemento;data_vigencia_inicial;data_vigencia_final;observacao_nao_fiscal;servicos.valor_unitario;dia_vencimento;data_primeiro_vencimento;data_proximo_reajuste;codigo_vendedor;situacao;recorrencia;tipo_faturamento;indice_reajuste;codigo_banco_conta;codigo_forma_pagamento;codigo_plano_contas;codigo_condicao_pagamento;observacao_fiscal
1323;1323;20.604.394/0001-02;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/10/2023;;Fidelidade 10/10/2024;221,49;12;12/02/2025;24/10/2025;1;1;1;1;0;14;5;89;;
1324;1324;82.844.366/0001-01;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/10/2023;;Fidelidade 30/09/2024;243,66;10;10/02/2025;24/10/2025;1;1;1;1;0;14;5;89;;
1331;1331;80.471.709/0001-04;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/10/2023;;Fidelidade 09/10/2024;301,56;25;25/02/2025;24/10/2025;1;1;1;1;0;14;5;89;;
1333;1333;23.114.958/0001-09;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/10/2023;;Fidelidade 30/09/2024;277,54;20;20/02/2025;24/10/2025;1;1;1;1;0;14;5;89;;
1351;1351;86.790.540/0001-31;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/10/2023;;Fidelidade 03/10/2024;248,79;10;10/02/2025;24/10/2025;1;1;1;1;0;14;5;89;;
1355;1355;27.417.305/0001-50;ASP Hiper Mini 2024 (ASP Softwares Brusque) - Mensal;2;1;;01/10/2023;;Fidelidade 30/09/2024;140,88;20;20/02/2025;24/10/2025;1;1;1;1;0;14;5;89;;
1396;1396;11.712.996/0001-84;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/10/2023;;Fidelidade 30/09/2024;130,52;28;28/02/2025;24/10/2025;1;1;1;1;0;14;5;89;;
1408;1408;11.538.133/0001-32;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/10/2023;;Fidelidade 26/10/2024;326,23;11;11/02/2025;24/10/2025;1;1;1;1;0;14;5;89;;
1422;1422;48.044.909/0001-78;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/10/2023;;Fidelidade 19/10/2024;321,69;27;27/02/2025;24/10/2025;1;1;1;1;0;14;5;89;;
1435;1435;28.295.626/0001-91;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/10/2023;;Fidelidade 01/10/2024;353,26;10;10/02/2025;24/10/2025;1;1;1;1;0;14;5;89;;
1437;1437;80.743.701/0001-50;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/10/2023;;Fidelidade 08/10/2024;322,99;15;15/02/2025;24/10/2025;1;1;1;1;0;14;5;89;;
1318;1318;00.734.725/0001-03;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/11/2023;;Fidelidade 31/10/2024;207,85;10;10/02/2025;08/11/2025;1;1;1;1;0;14;5;89;;
1321;1321;07.051.521/0001-17;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/11/2023;;Fidelidade 31/10/2024;259,22;10;10/02/2025;08/11/2025;1;1;1;1;0;14;5;89;;
1332;1332;72.316.946/0002-53;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/11/2023;;Fidelidade 31/10/2024;561,35;20;20/02/2025;08/11/2025;1;1;1;1;0;14;5;89;;
1336;1336;23.671.885/0001-56;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/11/2023;;Fidelidade 31/10/2024;189,34;15;15/02/2025;08/11/2025;1;1;1;1;0;14;5;89;;
1362;1362;13.106.478/0001-42;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/11/2023;;Fidelidade 31/10/2024;245,37;16;16/02/2025;08/11/2025;1;1;1;1;0;14;5;89;;
1395;1395;38.530.120/0001-73;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/11/2023;;Fidelidade 31/10/2024;262,79;4;4/02/2025;08/11/2025;1;1;1;1;0;14;5;89;;
1398;1398;35.343.161/0001-62;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/11/2023;;Fidelidade 31/10/2024;208,53;16;16/02/2025;08/11/2025;1;1;1;1;0;14;5;89;;
1405;1405;41.654.496/0001-02;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/11/2023;;Fidelidade 31/10/2024;246,10;5;5/02/2025;08/11/2025;1;1;1;1;0;14;5;89;;
1690;1690;91.848.192/0001-46;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;20/08/2024;26/08/2024;Fidelidade 19/08/2025;345,43;20;20/02/2025;;1;2;1;1;0;14;5;89;;
1409;1409;40.282.146/0001-91;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/11/2023;;Fidelidade 31/10/2024;220,57;15;15/02/2025;08/11/2025;1;1;1;1;0;14;5;89;;
1421;1421;47.258.877/0001-40;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/11/2023;;Fidelidade 31/10/2024;397,17;20;20/02/2025;08/11/2025;1;1;1;1;0;14;5;89;;
1423;1423;35.319.488/0001-07;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/11/2023;;Fidelidade 21/11/2024;225,60;28;28/02/2025;08/11/2025;1;1;1;1;0;14;5;89;;
1436;1436;51.463.815/0001-48;ASP Hiper Mini 2024 (ASP Softwares Brusque) - Mensal;2;1;;01/11/2023;;Fidelidade 31/10/2024;181,69;15;15/02/2025;08/11/2025;1;1;1;1;0;14;5;89;;
1299;1299;12.297.983/0001-59;ASP Hiper Mini 2024 (ASP Softwares Brusque) - Mensal;2;1;;01/12/2023;;Fidelidade 30/11/2024;231,61;9;9/02/2025;16/12/2025;1;1;1;1;0;14;5;89;;
1346;1346;45.828.425/0001-21;ASP Hiper Mini 2024 (ASP Softwares Brusque) - Mensal;2;1;;30/05/2024;02/09/2024;Fidelidade 29/05/2025;199,00;6;6/02/2025;;1;2;1;1;0;14;5;89;;
1301;1301;04.606.790/0001-04;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/12/2023;;Fidelidade 30/11/2024;546,85;15;15/02/2025;16/12/2025;1;1;1;1;0;14;5;89;;
1314;1314;39.967.794/0001-00;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/12/2023;;Fidelidade 30/11/2024;281,80;5;5/02/2025;16/12/2025;1;1;1;1;0;14;5;89;;
1315;1315;30.678.268/0001-48;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/12/2023;;Fidelidade 30/11/2024;383,93;18;18/02/2025;16/12/2025;1;1;1;1;0;14;5;89;;
1328;1328;80.072.010/0001-71;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/12/2023;;Fidelidade 30/11/2024;359,80;20;20/02/2025;16/12/2025;1;1;1;1;0;14;5;89;;
1349;1349;05.426.993/0001-81;ASP Hiper Mini 2024 (ASP Softwares Brusque) - Mensal;2;1;;01/12/2023;;Fidelidade 30/11/2024;206,35;8;8/02/2025;16/12/2025;1;1;1;1;0;14;5;89;;
1427;1427;48.511.858/0001-47;ASP Hiper Mini 2024 (ASP Softwares Brusque) - Mensal;2;1;;01/10/2023;03/09/2024;Fidelidade 30/09/2024;149,00;20;20/02/2025;;1;2;1;1;0;14;5;89;;
1428;1428;39.717.804/0001-41;ASP Hiper Mini 2024 (ASP Softwares Brusque) - Mensal;2;1;;01/12/2023;;Fidelidade 30/11/2024;188,26;10;10/02/2025;16/12/2025;1;1;1;1;0;14;5;89;;
1316;1316;02.366.247/0001-51;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/01/2024;;Fidelidade 31/12/2024;203,45;20;20/02/2025;31/01/2026;1;1;1;1;0;14;5;89;;
1335;1335;00.553.041/0001-05;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/01/2024;;Fidelidade 31/12/2024;328,55;9;9/02/2025;31/01/2026;1;1;1;1;0;14;5;89;;
1337;1337;09.490.425/0001-09;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/01/2024;;Fidelidade 31/12/2024;213,73;2;2/02/2025;31/01/2026;1;1;1;1;0;14;5;89;;
1397;1397;22.373.030/0002-67;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/01/2024;;Fidelidade 31/12/2024;162,94;15;15/02/2025;31/01/2026;1;1;1;1;0;14;5;89;;
1410;1410;41.695.576/0001-06;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/01/2024;;Fidelidade 31/12/2024;220,86;25;25/02/2025;31/01/2026;1;1;1;1;0;14;5;89;;
1411;1411;44.897.423/0001-21;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/01/2024;;Fidelidade 31/12/2024;276,72;1;1/02/2025;31/01/2026;1;1;1;1;0;14;5;89;;
1412;1412;16.823.879/0001-01;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/01/2024;;Fidelidade 31/12/2024;220,86;26;26/02/2025;31/01/2026;1;1;1;1;0;14;5;89;;
1425;1425;38.171.058/0001-70;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/01/2024;;Fidelidade 15/01/2025;221,54;20;20/02/2025;31/01/2026;1;1;1;1;0;14;5;89;;
1439;1439;35.640.133/0001-07;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/01/2024;;Fidelidade 31/12/2024;278,94;15;15/02/2025;31/01/2026;1;1;1;1;0;14;5;89;;
1334;1334;15.468.412/0001-28;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/12/2023;09/09/2024;Fidelidade 30/11/2024;242,66;10;10/02/2025;;1;2;1;1;0;14;5;89;;
1440;1440;51.478.408/0001-04;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/01/2024;;Fidelidade 16/01/2025;224,07;20;20/02/2025;31/01/2026;1;1;1;1;0;14;5;89;;
1441;1441;53.720.472/0001-85;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/01/2024;;Fidelidade 23/01/2025;204,63;24;24/02/2025;31/01/2026;1;1;1;1;0;14;5;89;;
1442;1442;49.857.408/0001-73;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/01/2024;;Fidelidade 25/01/2025;247,71;28;28/02/2025;31/01/2026;1;1;1;1;0;14;5;89;;
1459;1459;40.117.627/0001-41;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/01/2024;;Fidelidade 26/01/2025;151,94;25;25/02/2025;31/01/2026;1;1;1;1;0;14;5;89;;
1289;1289;07.794.735/0001-83;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/02/2024;;Fidelidade 31/01/2025;308,84;25;25/02/2025;10/02/2026;1;1;1;1;0;14;5;89;;
1303;1303;79.923.264/0001-77;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/02/2024;;Fidelidade 31/01/2025;210,00;14;14/02/2025;01/02/2025;1;1;1;1;0;14;5;89;;
1338;1338;16.801.779/0001-84;ASP Hiper Mini 2024 (ASP Softwares Brusque) - Mensal;2;1;;01/02/2024;;Fidelidade 31/01/2025;135,24;18;18/02/2025;01/02/2025;1;1;1;1;0;14;5;89;;
1365;1365;02.294.987/0001-20;ASP Hiper Mini 2024 (ASP Softwares Brusque) - Mensal;2;1;;01/02/2024;;Fidelidade 31/01/2025;111,54;28;28/02/2025;01/02/2025;1;1;1;1;0;14;5;89;;
1378;1378;08.689.469/0002-72;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/02/2024;;Fidelidade 31/01/2025;304,02;15;15/02/2025;01/02/2025;1;1;1;1;0;14;5;89;;
1393;1393;13.585.169/0001-00;ASP Hiper Mini 2024 (ASP Softwares Brusque) - Mensal;2;1;;01/02/2024;;Fidelidade 31/01/2025;199,90;15;15/02/2025;01/02/2025;1;1;1;1;0;14;5;89;;
1460;1460;17.369.233/0003-20;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/02/2024;;Fidelidade 31/01/2025;180,58;14;14/02/2025;01/02/2025;1;1;1;1;0;14;5;89;;
1292;1292;10.585.462/0001-71;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/03/2024;;Fidelidade 28/02/2025;329,00;20;20/02/2025;01/03/2025;1;1;1;1;0;14;5;89;;
1306;1306;95.857.165/0003-52;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/03/2024;;Fidelidade 10/03/2025;230,00;14;14/02/2025;01/03/2025;1;1;1;1;0;14;5;89;;
1308;1308;10.488.929/0001-65;ASP Hiper Mini 2024 (ASP Softwares Brusque) - Mensal;2;1;;01/03/2024;;Fidelidade 28/02/2025;156,82;14;14/02/2025;01/03/2025;1;1;1;1;0;14;5;89;;
1312;1312;01.567.152/0001-33;ASP Hiper Mini 2024 (ASP Softwares Brusque) - Mensal;2;1;;01/03/2024;;Fidelidade 28/02/2025;158,95;14;14/02/2025;01/03/2025;1;1;1;1;0;14;5;89;;
1322;1322;00.844.955/0001-25;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/03/2024;;Fidelidade 28/02/2025;267,54;14;14/02/2025;01/03/2025;1;1;1;1;0;14;5;89;;
1327;1327;07.272.690/0001-87;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/03/2024;;Fidelidade 28/02/2025;392,50;15;15/02/2025;01/03/2025;1;1;1;1;0;14;5;89;;
1329;1329;11.160.468/0001-60;ASP Hiper Mini 2024 (ASP Softwares Brusque) - Mensal;2;1;;01/03/2024;;Fidelidade 28/02/2025;178,40;14;14/02/2025;01/03/2025;1;1;1;1;0;14;5;89;;
1358;1358;13.996.051/0005-90;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/03/2024;;Fidelidade 10/03/2025;259,80;10;10/02/2025;01/03/2025;1;1;1;1;0;14;5;89;;
1377;1377;12.714.188/0001-19;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/03/2024;;Fidelidade 28/02/2025;415,09;10;10/02/2025;01/03/2025;1;1;1;1;0;14;5;89;;
1388;1388;16.887.148/0001-20;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/03/2024;;Fidelidade 28/02/2025;266,37;10;10/02/2025;01/03/2025;1;1;1;1;0;14;5;89;;
1426;1426;44.026.218/0001-90;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/03/2024;;Fidelidade 28/02/2025;234,15;10;10/02/2025;01/03/2025;1;1;1;1;0;14;5;89;;
1438;1438;52.413.808/0001-02;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/03/2024;;Fidelidade 28/02/2025;250,00;10;10/02/2025;01/03/2025;1;1;1;1;0;14;5;89;;
1443;1443;37.375.109/0001-13;ASP Hiper Mini 2024 (ASP Softwares Brusque) - Mensal;2;1;;01/03/2024;;Fidelidade 28/02/2025;189,90;10;10/02/2025;01/03/2025;1;1;1;1;0;14;5;89;;
1452;1452;07.272.690/0002-68;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/03/2024;;Fidelidade 28/02/2025;429,50;15;15/02/2025;01/03/2025;1;1;1;1;0;14;5;89;;
1455;1455;07.272.690/0007-72;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/03/2024;;Fidelidade 28/02/2025;396,10;15;15/02/2025;01/03/2025;1;1;1;1;0;14;5;89;;
1290;1290;03.939.668/0001-97;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/04/2024;;Fidelidade 31/03/2025;295,46;23;23/02/2025;01/04/2025;1;1;1;1;0;14;5;89;;
1310;1310;82.725.532/0001-50;ASP Hiper Mini 2024 (ASP Softwares Brusque) - Mensal;2;1;;01/04/2024;;Fidelidade 31/03/2025;138,50;15;15/02/2025;01/04/2025;1;1;1;1;0;14;5;89;;
1311;1311;08.925.255/0001-77;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/04/2024;;Fidelidade 01/04/2025;303,19;19;19/02/2025;01/04/2025;1;1;1;1;0;14;5;89;;
1756;1756;53.284.842/0001-89;ASP Varejo - Hiper 2024 (ASP Softwares Brusque) - Mensal;7;1;;13/09/2024;23/09/2024;Fidelidade 12/09/2025;300,00;25;25/02/2025;;1;2;1;1;0;14;5;89;;
1330;1330;04.494.697/0001-55;ASP Hiper Mini 2024 (ASP Softwares Brusque) - Mensal;2;1;;01/04/2024;;Fidelidade 31/03/2025;146,32;24;24/02/2025;01/04/2025;1;1;1;1;0;14;5;89;;
1521;1521;42.901.998/0001-45;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/06/2024;25/09/2024;Fidelidade 31/05/2025;229,80;15;15/02/2025;;1;2;1;1;0;14;5;89;;
1339;1339;81.797.276/0001-44;ASP Hiper Mini 2024 (ASP Softwares Brusque) - Mensal;2;1;;01/04/2024;;Fidelidade 31/03/2025;136,56;18;18/02/2025;01/04/2025;1;1;1;1;0;14;5;89;;
1361;1361;13.996.051/0003-29;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/04/2024;;Fidelidade 13/04/2025;204,54;18;18/02/2025;01/04/2025;1;1;1;1;0;14;5;89;;
1363;1363;28.844.370/0001-24;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/04/2024;;Fidelidade 31/03/2025;239,77;6;6/02/2025;01/04/2025;1;1;1;1;0;14;5;89;;
1366;1366;22.617.699/0001-76;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/04/2024;;Fidelidade 31/03/2025;205,41;20;20/02/2025;01/04/2025;1;1;1;1;0;14;5;89;;
1371;1371;30.277.558/0001-80;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/04/2024;;Fidelidade 31/03/2025;205,88;28;28/02/2025;01/04/2025;1;1;1;1;0;14;5;89;;
1380;1380;43.299.094/0001-54;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/04/2024;;Fidelidade 31/03/2025;156,33;15;15/02/2025;01/04/2025;1;1;1;1;0;14;5;89;;
1381;1381;31.758.259/0001-20;ASP Hiper Mini 2024 (ASP Softwares Brusque) - Mensal;2;1;;01/04/2024;;Fidelidade 31/03/2025;135,96;25;25/02/2025;01/04/2025;1;1;1;1;0;14;5;89;;
1413;1413;37.222.476/0001-87;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/04/2024;;Fidelidade 31/03/2025;135,90;7;7/02/2025;01/04/2025;1;1;1;1;0;14;5;89;;
1414;1414;34.871.974/0001-62;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/04/2024;;Fidelidade 11/04/2025;212,94;14;14/02/2025;01/04/2025;1;1;1;1;0;14;5;89;;
1415;1415;44.576.796/0001-09;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/04/2024;;Fidelidade 27/04/2025;216,30;20;20/02/2025;01/04/2025;1;1;1;1;0;14;5;89;;
1444;1444;41.067.549/0001-80;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/04/2024;;Fidelidade 26/04/2025;311,90;10;10/02/2025;01/04/2025;1;1;1;1;0;14;5;89;;
1451;1451;07.272.690/0005-00;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/04/2024;;Fidelidade 31/03/2025;396,10;15;15/02/2025;01/04/2025;1;1;1;1;0;14;5;89;;
1453;1453;07.272.690/0006-91;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/04/2024;;Fidelidade 31/03/2025;396,10;15;15/02/2025;01/04/2025;1;1;1;1;0;14;5;89;;
1457;1457;07.272.690/0009-34;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/04/2024;;Fidelidade 31/03/2025;429,50;15;15/02/2025;01/04/2025;1;1;1;1;0;14;5;89;;
