referencia;numero;data_vigencia_inicial;data_vigencia_final;Cliente (Razão Social);cnpj_cpf_cliente;codigo_banco_conta;codigo_forma_pagamento;servicos.complemento;servicos.referencia;dia_vencimento;data_primeiro_vencimento;observacao_nao_fiscal;servicos.valor_unitario;servicos.quantidade;codigo_vendedor;situacao;recorrencia;tipo_faturamento;indice_reajuste
2020/00001;2020/00001;01/11/2017;01/11/2021;AUTOMATSMART LTDA ME;23.850.163/0001-69;2;5;Serviços prestados SIGMA Saas Padrão;1;10;10/10/2024;N/D;940,24;1;1;1;1;0;0
2020/00007;2020/00007;01/11/2017;04/09/2024;AUTOMATSMART LTDA ME;23.850.163/0001-69;2;5;Serviços prestados SIGMA Saas Padrão;1;10;10/10/2024;Reajuste anual indice IPCA REAJUSTE SEM ADENDO 01/09/2021 CONF. EMAIL - AGUARDA ADENDO;1197,98;1;1;1;1;0;0
2021/00021;2021/00021;23/04/2021;22/04/2023;AVETEC INDUSTRIA E COMERCIO DE ALIMENTOS LTDA;08.955.086/0001-18;3;5;Serviços prestados referente a 01 (um) usuário Saas;1;10;10/10/2024;Reajuste anual índice IPCA;2247,72;1;1;1;1;0;0
2021/00018;2021/00018;31/03/2021;06/10/2022;BARCELOS VAREJO E ATACADO LTDA;41.030.835/0001-71;3;5;Serviços prestados;1;10;10/10/2024;Reajuste anual indice IPCA;3528,52;1;1;1;1;0;0
2020/00008;2020/00008;18/03/2015;20/03/2025;BELLO ALIMENTOS LTDA;08.201.770/0001-04;2;5;Sistema SIGMA PDCA SAAS Pagamento mediante deposito bancário Banco Itaú Ag 6383 CC 14169-1;1;10;10/10/2024;Reajuste anual indice IPCA ENVIADO EMAIL 23/06/2021 AGUARDAR ADENDO ASSINADO ALESSANDRA ESTÁ VENDO **Alterei a data no OMIE de 14/06/201 para 31/12/2021 - omie não estava faturando *Reajuste autorizado Sr. Abrahao email Tamires em 10/08/2021 ajustado antes de cliente assinar o adendo;4031,16;1;1;1;1;0;0
2020/00035;2020/00035;18/02/2020;18/02/2025;BIOTEC CONTROLE AMBIENTAL COMERCIO E SERVIÇOS DE AR CONDICI;13.499.467/0001-70;2;5;Sistema SIGMA PDCA SAAS;1;10;10/10/2024;em 19/01 -mudei vigencia de 10/01/22 para 18/02/22 igual Tamires.;1664,62;1;1;1;1;0;0
2020/00021;2020/00021;16/09/2002;16/09/2025;CAETE S/A;88.059.654/0001-31;2;5;Serviço Mensal  de PCM Sigma;1;10;10/10/2024;ADENDO ENVIADO 23/06/2021, CLIENTE JÁ ESTÁ PAGANDO VALOR DO REAJUSTE ALTERAR DATA DA VIGÊNCIA. Ajustar valor anualmente índice IGPM REENVIADO TAMIRES alterei vigencia e 16/03/2021 para 31/12/2021 não estava faturando - Mari REAJUSTE SEM ADENDO 01/09/2021 CONF. EMAIL - AGUARDA ADENDO;272,26;1;1;1;1;0;0
2020/00025;2020/00025;04/01/2017;01/12/2021;CARL ZEISS VISION BRASIL IND. OPTICA LTDA;28.826.394/0009-08;2;5;Serviço Mensal  de PCM Sigma;1;10;10/10/2024;a Nf deve conter o numero da ordem de compra PO221193, Pagamentos somente nos dias 16 e 30 de cada mês;431,2;1;1;1;1;0;0
2020/00039;2020/00039;04/06/2013;13/10/2024;CASTELO ALIMENTOS LTDA;07.814.284/0001-07;2;5;Serviço Mensal  de PCM Sigma;1;10;10/10/2024;adendo enviado em 23/06/2021, CLIENTE JÁ ESTÁ PAGANDO VALOR DO REAJUSTE FALTA ASSINATURA Reajuste anual indice IGPM **Alterei data de vigencia de 04/12/2015 a 31/12/20219 - Omie não faturava Mari adendo recebido por emial em 21/09/2021 ja inclui reajuste para 10/2021.;1359,91;1;1;1;1;0;0
2020/00100;2020/00100;09/10/2020;17/05/2025;CETEST RIO LTDA;39.128.525/0001-42;2;5;Serviço Manutenção Mensal  de PCM Sigma PDCA;1;10;10/10/2024;ÚLTIMO ADENDO NÃO FOI FEITO REAJUSTE. Reajuste anual indice a SINAPI  alterado vigencia conforme Tamires passou email em 10/09/201 de 09/10/21 a 17/05/2022;636,95;1;1;1;1;0;0
2020/00079;2020/00079;10/08/2017;25/03/2025;CIPATEX IMPREGNADORA DE PAPEIS E TECIDOS LTDA;47.254.461/0022-89;2;5;Serviço Mensal  de PCM Sigma;1;10;10/10/2024;Vencimento 30 dias após emissão da NF Reajuste anual indice IGPM;1830,81;1;1;1;1;0;0
2020/00017;2020/00017;01/04/2018;06/08/2023;CLIMAZON INDUSTRIAL LTDA;04.222.931/0001-95;2;5;Licenciamento SaaS SIGMA PDCA;1;10;10/10/2024;Valor reajustado, adendo enviado em 16/03. Atualizar valor ao receber adendo. Ao termino da vigência fazer novo adendo com prorrogação da data e alteração de valor- valor calculado por eliana - reenviado Tamires Alterei data vigência contrato OMIE 01/10/2020 para 31/12/2021 - MARI *Reajuste autorizado Sr. Abrahao email Tamires em 10/08/2021 ajustado antes de cliente assinar o adendo;1767,07;1;1;1;1;0;0
2020/00015;2020/00015;11/05/2007;08/09/2024;CMPC IGUAÇU EMBALAGENS LTDA.;11.308.600/0001-38;2;5;Serviço Mensal  de PCM Sigma pedido: Nº 3500017156;1;10;10/10/2024;Reajuste anual indice IGPM ENVIADO ADENDO 25/06 - AGUARDANDO RETORNO DO CLIENTE, reajuste calculado por tamires e margareth alterei VIGENCIA DE 20/11/20216 PARA 31/12/2021 não estava faturando no OMIE mari *Reajuste autorizado Sr. Abrahao email Tamires em 10/08/2021 ajustado antes de cliente assinar o adendo;2089,39;1;1;1;1;0;0
2020/00091;2020/00091;22/07/2015;22/09/2024;CONCRELAGOS CONCRETO LTDA;07.015.016/0001-17;2;5;Serviço Mensal  de PCM Sigma;1;10;10/10/2024;indice IGPM;1425,76;1;1;1;1;0;0
2021/00030;2021/00030;09/09/2016;01/06/2023;CONDOMINIO GERAL DO MILLENNIUM CENTER;07.119.723/0001-53;3;5;SISTEMA ENTERPRESI SAAS - APP ANDROID E WEB 2 USUARIOS;1;10;10/10/2024;Cliente antigo de 2015 - pandemia suspendeu contrato retomando em 01/06/2021 adendo anexo até 31/05/2022 não pode ser renovado não tem indice de reajuste;642,2;1;1;1;1;0;0
2020/00068;2020/00068;25/05/2018;24/07/2025;CONDOMÍNIO BARRA;16.275.232/0001-92;2;5;Contrato de Manutenção Kit mensal VIP (12 meses);1;10;10/10/2024;Reajuste anual indice  IGPM  **alterei data de vigencia 25/07/2021 para 31/12/2021 - Omie não estava faturando - Mari - Reajustado em25/07/2021  falta receber  o adendo assinado, ja tem email do cliente com aceite - ADENDO 08/09/2021 RECEBIDO;934,52;1;1;1;1;0;0
2020/00055;2020/00055;01/10/2016;01/10/2021;CONDOMÍNIO EDILICIO DO AMÉRICAS SHOPPING;20.748.818/0001-02;2;5;Contrato de Manutenção;1;10;10/10/2024;Adendo enviado em 12/01/2021 - 458,47 (sem retorno)  Reajustar valor em 09/2021 - referente a 2020/2021 - base valor 350,00 índice IGPM **Alterei data de vigencia de 01/04/2021 a 31/12/20219 - Omie não faturava Mari *Reajuste autorizado Sr. Abrahao email Tamires em 10/08/2021 ajustado antes de cliente assinar o adendo PEDIDO DE CANCELAMENTODO CLIENTE EM 31/08 CONFORME DISTRATO EM ANEXO, ULTIMO MES FATURADO 092021 Cancelada nota 932 com reajuste e faturada nota de SETEMBRO para distrato no valor de 350,00, conforme email 13/09/2021 Mari/ Tamires/Tania.;350;1;1;1;1;0;0
2020/00037;2020/00037;01/01/2014;30/09/2023;CONDOMÍNIO EDILICIO PÁTIO BELÉM;84.154.160/0001-85;3;5;Serviço Mensal  de PCM Sigma;1;10;10/10/2024;Reajuste anual indice IGPM Adendo recebido em 22/09 email em anexo- 36 meses de 2019 a 2021;493,43;1;1;1;1;0;0
2020/00082;2020/00082;07/10/2016;12/01/2023;CONDOMINIO MINAS SHOPPING;65.162.380/0001-06;2;5;Contrato de Manutenção Plano Master;1;10;10/10/2024;Cliente recebe nf's o máximo até dia 20 de cada mês Reajuste anual indice IGPM calculado por tamires e margareth- enviado adendo dia 25/06  mudar vigência final e valor **alterei data de vigencia 07/10/2020  para 31/12/2021 - Omie não estava faturando - Mari *Reajuste autorizado Sr. Abrahao email Tamires em 10/08/2021 ajustado antes de cliente assinar o adendo Em 16/01/22 Tamires solicitou faturar o valor que já estamos faturando 584,33, por email retificou novo valor 688,86;688,86;1;1;1;1;0;0
2020/00051;2020/00051;15/03/2013;12/05/2022;CONDOMINIO SHOPPING BELA VISTA;14.919.379/0001-42;2;5;Serviço Mensal de PCM Sigma (Plano Master);1;10;10/10/2024;CONTRATO SUSPENSO 03/2021 - PANDEMIA (COVID) fica suspensa a prestação dos serviços por parte da Contratada desde 01/03/2021 até nova comunicação do empreendimento, e suspensos os pagamentos por parte da Contratante.;850;1;1;1;1;0;0
2020/00056;2020/00056;01/10/2014;31/08/2023;CONDOMINIO SHOPPING CENTER LAPA;01.143.325/0001-96;2;5;Contrato de Manutenção;1;10;10/10/2024;solicitação de desconto. concedido 30%  em 03/2021 adendo enviado dia 24/06- cliente já está pagando valor do reajuste. REAJUSTE SEM ADENDO 01/09/2021 CONF. EMAIL - AGUARADA ADENDO adendo recebido 03/09/2021;589,05;1;1;1;1;0;0
2020/00006;2020/00006;20/11/2018;01/09/2025;COOPERATIVA DOS PRODUTORES RURAIS DO PRATA LTDA;24.021.677/0001-74;2;5;Mensalidade Licença SIGMA SAAS;1;10;10/10/2024;Reajustar anualmente indice IPCA Notificação de alteração em 06/09/2021 - adendo anexado drive em 31/08/2021 - alterado OMIE em 09/09/2021 com adendo anexado já reajuste para 1.377,09;1633,5;1;1;1;1;0;0
2021/00006;2021/00006;10/02/2021;10/05/2025;COMPANHIA OPERADORA PORTUARIA DO ITAQUI;04.784.802/0001-90;2;5;Serviços prestados;1;10;10/10/2024;N/D;1938,23;1;1;1;1;0;0
2021/00028;2021/00028;13/04/2021;13/04/2024;HIGIE PLUS COTTONBABY INDUSTRIA E COMERCIO LTDA;95.837.316/0001-49;2;5;Serviços prestados 02 USUARIO SAAS;1;10;10/10/2024;Contrato anual Reajuste anual indice IPCA;483,78;1;1;1;1;0;0
2020/00038;2020/00038;18/11/2014;18/09/2025;DAL MOBILE LTDA;89.042.618/0001-28;2;5;Serviço Mensal;1;10;10/10/2024;Reajuste anual indice IGPM REAJUSTE  01/09/2021 SEM ADENDO ASSINADO CONF EMAIL;713,59;1;1;1;1;0;0
2020/00067;2020/00067;13/03/2017;31/12/2021;DBL INDUSTRIA E COMERCIO DE BEBIDAS E EMBALAGENS LTDA;04.680.660/0001-11;2;5;Contrato  de Manutenção Plano Básico COBRANÇA DISTRATO - CONFORME CLAUSULA 7.4 CONTRATO  NOTIFICAÇÃO 22/10/2021 cobrança proporcional de 01/11/2021a a 22/11/2021;1;10;10/10/2024;enviado 25/06 adendo, cliente já está pagando o valor do reajuste falta assinatura **alterei a data de vigencia de  13/03/20219 para 31/12/2021 OMIE não estava faturando - Mari  Bom dia Mariângela,  Como o aviso da rescisão foi feito em 22/10, podem cobrar proporcional até a data de 22/11. DR Aline  Origiunal 562,68 proporcional 405,30, ver se cliente reclama, faturei total.;405,3;1;1;1;1;0;0
2021/00014;2021/00014;14/04/2021;16/12/2024;DENGO CHOCOLATES S.A.;23.244.006/0001-00;2;5;Processamento e armazenamento de dados - Saas 01 usuários  Aditivo em 16/12/2021 - 04 horas para manutenção (apenas consultoria e suporte) Pedido de Compra PC 47577;1;10;10/10/2024;Reajuste anual índice IPCA Alterei o numero de OC conforme solicitação cliente me 13/10/2021 aditivo em 12/2021 = Novo valor: 802,00 Fatura com 30 dias de prazo (conforme política interna do cliente) em 16/12/2021 mudou de 02 para 01 usuário e aumentou horas para 04 horas.;842,1;1;1;1;1;0;0
2020/00046;2020/00046;07/10/2019;28/10/2022;DP1 RESTAURANTE LTDA;24.840.166/0001-84;3;5;Contrato de Manutenção;1;10;10/10/2024;Reajustar em 10/2021 Reajuste anual indice IGPM Reajuste Tamires por email em 30/09/2021;888,99;1;1;1;1;0;0
2021/00026;2021/00026;06/05/2021;06/05/2022;EGS ELEVADORES EIRELI;05.379.701/0001-05;2;5;Serviços prestados - 01 usuário Saas;1;10;10/10/2024;Reajuste anual indice IPCA EM 19/01/21 devido a falta de pagamento estamos enviando o distrato contratual com 50% de multa do valor restante do contrato ainda vigente, aguardando seu retorno. O valor poderá ser pago via depósito bancário até 31/01/2022, sem nada mais a declarar.;242,42;1;1;1;1;0;0
2023/00003;2023/00003;25/08/2023;25/08/2025;ELIT INDUSTRIA DE TINTAS E REVESTIMENTOS LTDA;22.038.548/0001-63;2;5;Serviços prestados;1;10;10/10/2024;N/D;591,84;1;1;1;1;0;0
2024/00013;2024/00013;08/08/2024;08/08/2025;ESSENCIS BIOMETANO S.A.;48.119.972/0001-26;2;5;Serviços prestados- contrato de manutenção 120 horas;1;10;10/10/2024;Contrato vence no mes 08 pois a instalação nao foi procedida no periodo correto devido a pagamento do cliente inicio seria 08/07/2024;1850;1;1;1;1;0;0
2020/00044;2020/00044;18/03/2020;19/03/2022;ESTALEIROS DO BRASIL LTDA;09.628.613/0001-42;2;5;Contrato de Suporte Mensal ( Plano Vip);1;10;10/10/2024;24/06 enviado minuta,  quando receber mudar valor e vigencia final *Reajuste autorizado Sr. Abrahao email Tamires em 10/08/2021 ajustado antes de cliente assinar o adendo ** ESTE CLIENTE NÃO TEM CONTRATO, SOMENTE UMA  OP EM ANEXO  CLIENTE NÃO ACEITOU REAJUSTE: Foi emitida nota 997 com reajuste, não tive mais como cancelar, então concedido desconto em deposito r$ 367,21. Favor cancelar NF 1105 e emitir uma nova nota com o valor correto de R$ 1.122,00 Envio em anexo a PO do cliente com assinatura do Abrahão concordando com o aumento da vigência para 24 meses.;1122;1;1;1;1;0;0
2020/00073;2020/00073;02/05/2019;01/05/2025;FABRICA DE ARTEFATOS DE LATEX SAO ROQUE LTDA;70.939.574/0001-05;2;5;Licenciamento SaaS SIGMA PDCA;1;10;10/10/2024;vencimento sempre no dia 29. Reajustado em 03/2021 Reajuste anual indice IPCA;3498,12;1;1;1;1;0;0
2020/00029;2020/00029;11/10/2013;10/09/2025;FABRICA DE MOVEIS FLORENSE;89.962.294/0001-46;2;5;Serviço Mensal  de PCM Sigma;1;10;10/10/2024;Reajuste anual indice IGPM REAJUSTE SEM ADENDO 01/09/2021 CONF. EMAIL - AGUARADA ADENDO;759,54;1;1;1;1;0;0
2021/00025;2021/00025;27/04/2021;27/04/2023;SILVANIA CHAVES RODRIGUES BILATO 30876159862;17.628.648/0001-00;2;5;Serviços prestados - 01 usuário Saas;1;10;10/10/2024;Reajuste anual indice IPCA  boleto 30 e 60 dias;1959,26;1;1;1;1;0;0
2022/00001;2022/00001;02/05/2022;02/05/2023;SILVANIA CHAVES RODRIGUES BILATO 30876159862;17.628.648/0001-00;3;5;Serviços prestados SISTEMA GERENCIAL DE MANUTENÇÃO SAAS;1;10;10/10/2024;RENOVAÇÃO DE ADENDO;2180,65;1;1;1;1;0;0
2020/00065;2020/00065;26/06/2019;19/05/2025;Fitas Flax da Amazonia Ltda;07.169.868/0001-69;2;5;Contrato de suporte técnico SIGMA;1;10;10/10/2024;Reajuste anual indice IGPM enviado adendo 24/06, alterar vigência final e valor. valor do reajuste calculado por eliane Alterei data omie de 26/06/2021 para 31/12/2021 OMIE NÃO ESTAVA FATURANDO *Reajuste autorizado Sr. Abrahao email Tamires em 10/08/2021 ajustado antes de cliente assinar o adendo;651,49;1;1;1;1;0;0
2020/00074;2020/00074;15/08/2018;14/08/2021;FMB PLASTICOS INDUSTRIAIS LTDA;23.842.762/0001-30;2;5;Licenciamento SaaS SIGMA PDCA;1;10;10/10/2024;N/D;1085,29;1;1;1;1;0;0
2021/00016;2021/00016;26/03/2021;06/09/2024;FRISAJO AGRO PECUARIA INDUSTRIAL LTDA;83.796.763/0001-18;2;5;Serviços prestados;1;10;10/10/2024;Reajuste anual indice IGPM Luciele solicitou via email em 06/10 mudança vencimento para 15/mes.;990;1;1;1;1;0;0
2020/00098;2020/00098;27/03/2017;23/09/2024;H.B.FULLER BRASIL LTDA;43.829.282/0001-47;2;5;Contrato de Manutenção - Kit básico;1;10;10/10/2024;Reajuste anual indice IGPM REAJUSTE SEM ADENDO 01/09/2021 CONF. EMAIL - AGUARDA ADENDO Antiga Adecol;633,02;1;1;1;1;0;0
2024/00008;2024/00008;21/05/2024;21/05/2025;H.B.FULLER BRASIL LTDA;43.829.282/0001-47;2;5;ativação do BI;1;10;10/10/2024;Reajuste anual indice IGPM REAJUSTE SEM ADENDO 01/09/2021 CONF. EMAIL - AGUARDA ADENDO Antigo Adecol;500;1;1;1;1;0;0
2020/00060;2020/00060;22/01/2020;02/12/2021;GLOBAL ELEVADORES LTDA;06.310.147/0001-64;2;5;Contrato de serviço mensal Sigma Cloud;1;10;10/10/2024;N/D;189;1;1;1;1;0;0
2024/00014;2024/00014;06/08/2024;06/08/2025;GMT GESTAO PARTICIPACOES LTDA;44.625.782/0001-20;2;5;Serviços prestados inclusão de 2 usuarios;1;10;10/10/2024;N/D;1658;1;1;1;1;0;0
2020/00059;2020/00059;11/04/2017;01/03/2025;GONZALES, SENDESKI & CIA LTDA;03.336.687/0001-29;2;5;Contrato de Manutenção - Kit básico;1;10;10/10/2024;ADENDO ENVIADO 24/06, falta cliente retornar alterar valor e vigencia final. *Reajuste autorizado Sr. Abrahao email Tamires em 10/08/2021 ajustado antes de cliente assinar o adendo;644,08;1;1;1;1;0;0
2020/00075;2020/00075;01/03/2021;01/03/2023;GRAN TIERRA ENERGY BRASIL LTDA;11.230.625/0003-28;2;5;Sistema SIGMA PDCA SAAS;1;10;10/10/2024;Vencimento 30 dias após a emissão da NF Cobrar assinatura contrato original. Fazer e enviar adendo reajustando valor índice IPCA 19/03/2021 solicitado contrato - reajustar valor enviado contrato 24/06 falta cliente assinar, ele já está pagando (achamos um email onde cliente não queria contrato) em 04/08 Tamires entra em contato com cliente para solucionar!;1200;1;1;1;1;0;0
2020/00099;2020/00099;16/10/2020;30/12/2022;GRANJA PINHEIROS LTDA;87.702.528/0010-81;3;5;Contrato de Manutenção;1;10;10/10/2024;eduardo@granjapinheiros.com.br  Vencimento 10 de cada mês Em 10/2021 ajustar valor, fazer adendo enviar cliente. Reajuste anual indice IGPM Reajuste Tamires 30/09/2021 por email EM 22/10/2021 Tamires enviou email, não será cobrado o reajuste em 2021, continua 740 e somente nota 10/2021 ficou com o valor reajustado.;803,56;1;1;1;1;0;0
2020/00024;2020/00024;24/01/2017;10/09/2025;HI-MIX ELETRONICOS S/A;14.785.345/0001-02;2;5;Serviço Mensal  de PCM Sigma;1;10;10/10/2024;Reajuste anual indice IGPM ENVIADO ADENDO DIA  25/06- calculado por tamires e margareth  após recebimentos mudar valor e vigência final *alterei vigencia e 24/07/2019 para 31/12/2021 não estava faturando - Mari *Reajuste autorizado Sr. Abrahao email Tamires em 10/08/2021 ajustado antes de cliente assinar o adendoc * em 19/01/22 verificado que não faturava, Tamires avisou q seria cobrado valor novo mesmo sem cliente assinar adendo deste 10/08/2021;848,85;1;1;1;1;0;0
2021/00019;2021/00019;11/04/2024;11/04/2025;S.L. ADMINISTRACAO E PARTICIPACOES LTDA;11.915.507/0001-91;2;5;Serviços prestados - 01 Usuario Saas;1;10;10/10/2024;Reajuste anual índice IPCA;2381,17;1;1;1;1;0;0
2020/00019;2020/00019;18/01/2022;28/02/2025;SERVICO SOCIAL DA CONSTRUCAO CIVIL DO ESTADO DE SAO PAULO SP;61.687.356/0014-54;2;5;C.G. nº SES-PRC-2021/33125  Secretaria de Estado da Saúde;1;10;10/10/2024;ENVIAR A DECLARAÇÃO M ANEXO COM O NUMERO DA NF DP MÊS.  Não será reajustado em 2021, autorizado isenção  Tamires passou vigencia 07/02/22 antes era 17/01/2022 adendo não recebido;608,8;1;1;1;1;0;0
2020/00071;2020/00071;12/09/2022;12/09/2025;HOYA LENS BRAZIL FABRICACAO DE ARTIGOS OPTICOS LTDA;68.571.041/0001-71;3;5;minuta de contrato SIGMA SaaS:  Usuários: 01 Condição de pagamento: mensalidade Valor: 560,00 Dia de pagamento: 25 de todo mês Índice: IPCA Vigência: 36 meses;1;10;10/10/2024;Valor reajustado em 09/2020. Adendo enviado em 21/01/2021.  Reajuste anual REAJUSTE SEM ADENDO 01/09/2021 CONF. EMAIL - AGUARADA ADENDO conforme email 22/09/2021 reajustado com cliente, R$ 722,30  cancelei nota 1000 e emiti nova nota no valor de R$ 580,74;560;1;1;1;1;0;0
2023/00001;2023/00001;24/02/2023;24/02/2025;HOYA LENS BRAZIL FABRICACAO DE ARTIGOS OPTICOS LTDA;68.571.041/0001-71;2;5;Serviços prestados;1;10;10/10/2024;N/D;588,63;1;1;1;1;0;0
2021/00027;2021/00027;12/05/2021;12/05/2022;HVAC ENGENHARIA, REPRESENTACAO E COMERCIO DE MAQUINAS E EQUI;21.497.711/0001-93;2;5;Serviços prestados - 01 usuário Saas;1;10;10/10/2024;Reajuste anual - índice IPCA;235,59;1;1;1;1;0;0
